id_Provincia,id_Partido,id_Localidad,Pais
0,282,3728,Argentina
0,222,3729,Argentina
0,39,3732,Argentina
0,11,3737,Argentina
0,334,3741,Argentina
0,89,3742,Argentina
0,176,3743,Argentina
0,176,3744,Argentina
0,222,3746,Argentina
0,39,3752,Argentina
0,39,3753,Argentina
0,415,3757,Argentina
0,325,3758,Argentina
0,374,3763,Argentina
0,408,3764,Argentina
0,414,3765,Argentina
0,306,3766,Argentina
0,172,3768,Argentina
0,356,3770,Argentina
0,179,3775,Argentina
0,176,3779,Argentina
0,39,3780,Argentina
0,300,3785,Argentina
0,143,3789,Argentina
0,143,3797,Argentina
0,198,3798,Argentina
0,280,3800,Argentina
0,179,3801,Argentina
0,409,3803,Argentina
0,143,3818,Argentina
0,409,3819,Argentina
0,176,3822,Argentina
0,39,3823,Argentina
0,113,3836,Argentina
0,295,3846,Argentina
0,170,3847,Argentina
0,164,3848,Argentina
0,220,3853,Argentina
0,364,3854,Argentina
0,261,3858,Argentina
0,22,3859,Argentina
0,7,3862,Argentina
0,44,3865,Argentina
0,25,3871,Argentina
0,198,3873,Argentina
0,6,3894,Argentina
0,178,3899,Argentina
0,306,3900,Argentina
0,274,3902,Argentina
0,134,3903,Argentina
0,441,3904,Argentina
0,222,3905,Argentina
1,61,19,Argentina
1,51,20,Argentina
1,49,258,Argentina
1,50,259,Argentina
1,59,260,Argentina
1,50,262,Argentina
1,51,263,Argentina
1,52,576,Argentina
1,61,578,Argentina
1,58,580,Argentina
1,59,581,Argentina
1,47,583,Argentina
1,53,1430,Argentina
1,56,1431,Argentina
1,55,1826,Argentina
1,55,2295,Argentina
1,47,2297,Argentina
1,56,2298,Argentina
1,50,2491,Argentina
1,59,2492,Argentina
1,60,2578,Argentina
1,55,2580,Argentina
1,53,2581,Argentina
1,61,2582,Argentina
1,50,2583,Argentina
1,61,2584,Argentina
1,47,2586,Argentina
1,48,2906,Argentina
1,47,2907,Argentina
1,58,3030,Argentina
1,49,3031,Argentina
1,47,3033,Argentina
1,47,3034,Argentina
1,56,3479,Argentina
1,56,3480,Argentina
1,61,3481,Argentina
1,57,3482,Argentina
1,57,3483,Argentina
1,57,3484,Argentina
1,54,3485,Argentina
1,56,3486,Argentina
1,61,3488,Argentina
1,58,3489,Argentina
1,56,3490,Argentina
1,54,3491,Argentina
1,57,3492,Argentina
1,54,3493,Argentina
1,58,3494,Argentina
2,16,37,Argentina
2,70,40,Argentina
2,384,105,Argentina
2,16,117,Argentina
2,290,133,Argentina
2,16,135,Argentina
2,15,148,Argentina
2,16,151,Argentina
2,383,152,Argentina
2,406,165,Argentina
2,15,169,Argentina
2,406,173,Argentina
2,19,174,Argentina
2,19,175,Argentina
2,313,181,Argentina
2,70,285,Argentina
2,406,301,Argentina
2,36,314,Argentina
2,71,327,Argentina
2,384,507,Argentina
2,36,519,Argentina
2,16,569,Argentina
2,70,645,Argentina
2,221,701,Argentina
2,383,715,Argentina
2,406,769,Argentina
2,16,790,Argentina
2,383,807,Argentina
2,16,830,Argentina
2,14,832,Argentina
2,70,835,Argentina
2,313,875,Argentina
2,147,877,Argentina
2,70,941,Argentina
2,70,977,Argentina
2,14,979,Argentina
2,313,979,Argentina
2,70,990,Argentina
2,70,996,Argentina
2,406,1002,Argentina
2,406,1008,Argentina
2,36,1036,Argentina
2,406,1050,Argentina
2,36,1095,Argentina
2,16,1179,Argentina
2,125,1183,Argentina
2,221,1189,Argentina
2,70,1192,Argentina
2,221,1192,Argentina
2,429,1192,Argentina
2,14,1194,Argentina
2,383,1202,Argentina
2,383,1212,Argentina
2,383,1231,Argentina
2,221,1234,Argentina
2,36,1238,Argentina
2,147,1254,Argentina
2,16,1261,Argentina
2,313,1277,Argentina
2,71,1280,Argentina
2,19,1289,Argentina
2,429,1292,Argentina
2,16,1294,Argentina
2,406,1296,Argentina
2,383,1297,Argentina
2,406,1297,Argentina
2,221,1301,Argentina
2,14,1313,Argentina
2,290,1314,Argentina
2,406,1315,Argentina
2,221,1379,Argentina
2,383,1437,Argentina
2,36,1439,Argentina
2,406,1451,Argentina
2,383,1492,Argentina
2,125,1629,Argentina
2,36,1670,Argentina
2,14,1675,Argentina
2,429,1675,Argentina
2,70,1679,Argentina
2,221,1691,Argentina
2,125,1699,Argentina
2,36,1755,Argentina
2,313,1784,Argentina
2,16,1829,Argentina
2,290,1838,Argentina
2,15,1852,Argentina
2,147,1857,Argentina
2,221,1888,Argentina
2,147,1897,Argentina
2,221,1906,Argentina
2,290,1907,Argentina
2,383,1908,Argentina
2,383,1922,Argentina
2,15,1927,Argentina
2,290,1933,Argentina
2,16,1935,Argentina
2,14,1960,Argentina
2,36,1963,Argentina
2,383,1963,Argentina
2,406,1963,Argentina
2,406,1967,Argentina
2,147,1986,Argentina
2,290,1998,Argentina
2,383,2026,Argentina
2,384,2057,Argentina
2,14,2060,Argentina
2,221,2069,Argentina
2,14,2082,Argentina
2,36,2082,Argentina
2,290,2086,Argentina
2,383,2093,Argentina
2,221,2099,Argentina
2,429,2117,Argentina
2,384,2129,Argentina
2,36,2167,Argentina
2,383,2171,Argentina
2,384,2175,Argentina
2,70,2177,Argentina
2,70,2178,Argentina
2,70,2179,Argentina
2,406,2182,Argentina
2,14,2193,Argentina
2,125,2206,Argentina
2,19,2229,Argentina
2,36,2229,Argentina
2,14,2255,Argentina
2,14,2260,Argentina
2,384,2325,Argentina
2,383,2392,Argentina
2,406,2392,Argentina
2,70,2425,Argentina
2,290,2456,Argentina
2,313,2484,Argentina
2,406,2601,Argentina
2,290,2602,Argentina
2,383,2605,Argentina
2,406,2609,Argentina
2,429,2749,Argentina
2,147,2751,Argentina
2,147,2752,Argentina
2,313,2754,Argentina
2,429,2774,Argentina
2,36,2833,Argentina
2,36,2834,Argentina
2,383,2877,Argentina
2,406,2880,Argentina
2,221,2904,Argentina
2,221,2920,Argentina
2,221,2945,Argentina
2,313,2963,Argentina
2,147,3070,Argentina
2,221,3070,Argentina
2,290,3070,Argentina
2,71,3103,Argentina
2,429,3126,Argentina
2,383,3138,Argentina
2,383,3139,Argentina
2,147,3140,Argentina
2,383,3140,Argentina
2,70,3165,Argentina
2,313,3173,Argentina
2,70,3178,Argentina
2,70,3181,Argentina
2,384,3181,Argentina
2,429,3213,Argentina
2,383,3225,Argentina
2,429,3232,Argentina
2,313,3273,Argentina
2,406,3273,Argentina
2,313,3298,Argentina
2,14,3304,Argentina
2,429,3326,Argentina
2,125,3362,Argentina
2,406,3370,Argentina
2,406,3395,Argentina
2,125,3536,Argentina
2,429,3611,Argentina
2,147,3693,Argentina
2,36,3820,Argentina
2,290,3824,Argentina
2,383,3884,Argentina
3,201,250,Argentina
3,364,316,Argentina
3,1,488,Argentina
3,364,493,Argentina
3,201,627,Argentina
3,387,664,Argentina
3,400,791,Argentina
3,85,792,Argentina
3,146,825,Argentina
3,239,845,Argentina
3,3,881,Argentina
3,364,893,Argentina
3,1,897,Argentina
3,387,914,Argentina
3,238,947,Argentina
3,387,978,Argentina
3,12,992,Argentina
3,266,1021,Argentina
3,156,1043,Argentina
3,400,1053,Argentina
3,159,1242,Argentina
3,159,1318,Argentina
3,159,1319,Argentina
3,266,1365,Argentina
3,238,1393,Argentina
3,364,1462,Argentina
