ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL,id_Provincia,id_Localidad,id_Partido
--,SI,--,SI,SI,SI,--,--,--,0,3607,176
--,SI,--,SI,SI,SI,--,--,--,0,3642,176
--,SI,--,SI,SI,SI,--,--,--,0,3645,176
--,SI,--,SI,SI,SI,--,--,--,0,3648,176
--,SI,--,SI,SI,SI,--,--,--,0,3649,176
--,SI,--,SI,SI,SI,--,--,--,0,3662,176
--,SI,--,SI,SI,SI,--,SI,--,0,3663,176
--,SI,--,SI,SI,SI,--,--,--,0,3664,176
SI,SI,--,SI,SI,SI,SI,SI,--,0,3674,176
--,--,--,SI,SI,SI,--,SI,--,0,1597,268
--,--,--,--,--,--,--,SI,--,0,1770,268
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,2402,268
--,--,--,--,--,--,--,--,--,0,3409,268
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,2138,269
SI,SI,--,SI,SI,SI,SI,SI,--,0,2356,269
SI,SI,SI,SI,SI,SI,SI,SI,--,0,2403,269
SI,SI,SI,SI,SI,SI,SI,SI,--,0,2756,269
SI,SI,SI,SI,SI,SI,SI,SI,--,0,3071,269
--,--,--,SI,SI,SI,SI,SI,SI,0,25,274
SI,SI,SI,SI,SI,SI,SI,SI,--,0,3175,274
--,--,--,--,SI,--,--,--,--,0,3902,274
SI,--,--,SI,SI,SI,SI,--,--,0,298,276
SI,--,--,SI,SI,SI,SI,--,--,0,2452,276
--,SI,SI,SI,SI,SI,SI,SI,--,0,1080,279
SI,SI,SI,SI,SI,SI,SI,SI,--,0,1480,279
SI,SI,SI,SI,SI,SI,SI,SI,--,0,1149,404
--,--,--,--,SI,SI,--,SI,--,0,1150,404
SI,SI,--,SI,SI,SI,SI,SI,SI,0,1327,404
SI,SI,--,SI,SI,SI,SI,SI,SI,0,1549,404
SI,SI,--,SI,SI,SI,SI,--,SI,0,2259,404
--,SI,--,SI,SI,SI,SI,--,--,0,2520,404
--,--,--,SI,--,--,SI,--,--,15,2324,442
--,--,--,--,--,--,SI,--,SI,15,3911,442
--,--,--,--,--,--,SI,--,--,15,2551,442
SI,SI,--,SI,SI,SI,SI,--,--,0,2958,404
SI,SI,--,SI,SI,SI,SI,SI,--,0,2966,404
SI,SI,--,SI,SI,SI,SI,SI,SI,0,3388,404
SI,SI,--,--,SI,SI,SI,SI,--,0,1526,408
--,--,--,--,SI,SI,--,SI,--,0,3764,408
--,--,--,--,--,--,SI,--,--,0,798,409
SI,--,--,--,SI,SI,SI,--,--,0,3048,409
--,SI,--,SI,SI,SI,SI,--,--,0,3293,409
--,--,--,--,--,--,SI,--,SI,15,3013,442
--,--,--,SI,--,--,--,--,--,15,379,301
SI,SI,SI,--,SI,SI,SI,SI,--,0,97,83
--,--,--,--,SI,SI,--,SI,--,0,330,83
--,--,--,--,SI,--,--,SI,--,0,372,83
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,749,83
--,--,--,--,SI,--,--,SI,--,0,1586,83
--,SI,--,SI,--,--,--,SI,--,0,2488,83
--,--,--,--,SI,SI,--,SI,SI,0,3232,83
SI,--,--,SI,SI,SI,SI,SI,--,0,3472,83
SI,--,SI,--,SI,SI,SI,SI,--,0,3525,83
SI,SI,--,SI,SI,SI,SI,SI,--,0,663,72
--,--,--,--,--,--,--,SI,--,0,1926,72
--,--,SI,--,--,--,SI,--,--,0,517,73
--,SI,--,SI,SI,SI,--,--,--,0,3675,176
--,SI,--,SI,SI,SI,--,--,--,0,3695,176
SI,SI,--,SI,SI,SI,SI,--,--,0,3707,176
SI,SI,--,SI,SI,SI,SI,SI,--,0,3711,176
--,SI,--,SI,SI,SI,--,--,--,0,3719,176
--,SI,--,SI,SI,SI,--,--,--,0,3743,176
--,SI,--,SI,SI,SI,--,--,--,0,3744,176
SI,SI,--,SI,SI,SI,SI,SI,--,0,3779,176
--,SI,--,SI,SI,SI,--,--,--,0,3822,176
SI,--,--,--,SI,--,SI,SI,--,0,270,178
--,--,--,--,--,--,--,--,--,0,1886,178
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,1972,279
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,2474,279
--,SI,--,SI,SI,SI,SI,SI,SI,0,2650,279
SI,SI,SI,SI,SI,SI,SI,SI,--,0,3449,279
SI,SI,--,SI,SI,SI,SI,SI,--,0,716,280
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,1279,280
SI,SI,--,SI,SI,SI,SI,--,SI,0,3411,409
--,--,--,--,SI,--,--,--,--,0,3440,409
--,SI,--,--,--,--,--,--,--,0,3803,409
SI,--,--,--,SI,--,SI,--,--,0,3819,409
--,SI,--,SI,SI,SI,SI,--,--,0,12,413
--,--,--,SI,SI,SI,SI,--,--,0,542,413
SI,--,--,--,--,--,SI,SI,--,0,1570,413
--,--,--,--,--,--,--,SI,--,0,1858,413
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,3430,413
--,--,--,--,--,--,--,SI,--,0,3448,413
--,--,--,--,SI,SI,--,--,--,0,295,414
SI,--,--,--,--,--,--,--,--,9,2173,357
SI,SI,SI,SI,SI,SI,SI,SI,SI,1,2297,47
--,--,--,--,SI,SI,--,SI,--,5,1885,65
--,--,--,--,SI,--,--,SI,--,5,2045,65
--,--,--,--,--,--,SI,SI,--,5,2051,65
SI,--,--,--,SI,SI,SI,SI,SI,5,2208,65
--,--,--,--,--,--,--,SI,--,5,2226,65
SI,--,--,SI,SI,SI,SI,SI,SI,5,2246,65
SI,SI,SI,SI,SI,SI,SI,SI,SI,1,576,52
--,--,--,SI,SI,SI,SI,SI,--,5,1960,344
--,--,--,--,--,--,--,SI,--,5,1965,344
--,--,--,--,SI,--,SI,--,--,5,2073,344
--,--,--,--,--,--,SI,--,--,5,2112,344
--,--,--,--,--,--,--,--,--,5,2339,344
--,--,--,--,--,--,--,--,--,5,2461,344
SI,--,--,SI,SI,SI,SI,SI,SI,5,2465,344
--,--,--,--,SI,SI,--,--,--,5,2544,344
SI,SI,SI,SI,SI,SI,SI,SI,SI,1,3486,56
SI,--,--,SI,SI,SI,SI,SI,--,5,3305,410
SI,--,--,SI,SI,SI,SI,SI,--,5,3842,410
--,--,--,--,--,--,--,--,--,5,766,417
--,--,--,--,--,--,--,--,--,5,837,417
--,--,--,--,--,--,--,--,--,5,1313,417
--,--,--,--,--,--,--,--,--,5,1338,417
SI,--,--,--,SI,SI,SI,--,--,5,2042,417
SI,SI,SI,SI,SI,SI,SI,SI,SI,1,2578,60
--,--,--,SI,SI,--,SI,SI,--,7,92,122
--,--,--,--,--,--,SI,SI,--,7,917,122
--,--,--,--,--,--,--,--,--,7,1048,122
SI,SI,--,--,SI,SI,SI,SI,--,7,1127,122
--,--,--,--,--,--,SI,SI,--,7,1388,122
--,--,--,--,--,--,--,--,--,7,1382,122
--,--,--,--,SI,--,SI,SI,--,7,1518,122
--,--,--,--,SI,--,SI,SI,--,7,1556,122
SI,SI,--,SI,SI,SI,SI,SI,SI,8,1464,145
--,--,--,--,SI,--,SI,SI,--,8,1602,145
--,--,--,--,--,--,--,SI,--,8,2358,145
--,--,--,--,SI,SI,--,SI,SI,8,2440,145
--,--,--,--,SI,--,--,SI,SI,8,3121,145
--,--,--,SI,SI,SI,--,SI,SI,8,3833,145
--,--,--,--,--,--,--,--,--,8,3810,145
--,--,--,--,--,--,--,SI,--,8,300,227
SI,--,--,--,SI,--,SI,SI,SI,8,1544,227
--,--,--,--,SI,--,SI,SI,--,8,1653,227
--,--,--,--,SI,SI,SI,SI,SI,8,3109,227
--,--,--,--,SI,--,--,SI,--,8,3369,227
--,--,--,--,--,--,--,SI,--,8,3629,227
--,--,SI,SI,SI,SI,SI,SI,SI,10,2892,322
--,--,--,--,--,SI,--,--,--,10,2947,322
--,--,--,--,--,--,SI,SI,--,10,3727,322
--,SI,--,SI,SI,--,SI,--,SI,10,607,327
--,--,--,--,--,--,--,--,--,10,1704,327
--,SI,--,--,--,--,SI,--,SI,10,1931,327
--,--,--,SI,SI,SI,SI,SI,SI,10,2643,327
--,--,--,SI,--,--,SI,--,--,10,2692,327
--,--,--,SI,--,--,SI,SI,SI,10,2895,327
--,--,--,SI,SI,--,SI,SI,SI,10,2932,327
--,SI,--,--,--,--,SI,SI,SI,10,42,330
--,--,--,--,--,--,SI,SI,SI,10,112,330
--,--,--,SI,--,--,SI,SI,--,10,1101,330
--,SI,SI,--,SI,SI,SI,SI,SI,12,562,153
--,--,--,--,SI,--,SI,SI,--,12,687,153
SI,SI,SI,SI,SI,SI,SI,SI,--,12,1518,153
--,--,--,--,SI,SI,--,--,--,12,2204,153
--,--,--,SI,SI,SI,--,--,--,12,1572,181
SI,SI,SI,SI,SI,SI,SI,SI,SI,12,1589,181
--,--,--,SI,SI,SI,--,--,--,12,1825,181
--,--,--,--,--,--,--,--,--,12,2793,181
--,--,--,SI,SI,SI,--,--,--,12,3032,181
--,--,--,SI,SI,SI,--,--,--,12,3668,181
--,--,--,--,SI,SI,--,--,--,12,3718,181
--,--,--,--,--,--,--,--,--,16,2588,184
--,SI,--,SI,SI,SI,SI,SI,SI,12,2317,259
--,--,--,--,--,--,--,SI,--,12,155,332
--,--,--,--,SI,--,--,SI,--,12,348,332
--,--,--,--,--,--,--,SI,--,12,460,332
--,--,--,--,--,SI,--,--,--,12,1079,332
--,--,--,SI,--,--,--,SI,--,12,1268,332
--,--,--,--,SI,SI,--,SI,--,12,1862,332
--,--,--,--,--,--,--,SI,--,12,1894,332
--,--,--,--,--,--,--,SI,--,12,1900,332
--,--,--,--,--,--,--,SI,--,12,1918,332
--,--,--,--,--,--,--,SI,--,12,2263,332
--,--,--,--,SI,--,SI,SI,--,12,2189,332
--,--,SI,--,SI,SI,SI,SI,--,12,2396,332
--,--,--,--,SI,SI,--,SI,--,12,2480,332
--,--,--,--,--,--,SI,SI,--,12,2946,332
SI,--,SI,SI,SI,SI,SI,SI,SI,12,2974,332
--,--,--,--,--,--,--,SI,--,12,3226,332
