Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,id_Provincia,id_Localidad,id_Partido
0,--,--,--,--,--,--,--,SI,SI,6098010.0,"-34,8838130805","-57,87701595642",0,3780,39
0,--,--,--,--,--,--,--,--,--,6098010.0,"-34,9221646298322","-57,8009664840662",0,3823,39
211,SI,--,--,--,--,--,SI,--,--,6105010.0,"-36,0010429767568","-60,8534495072374",0,1641,43
33,--,--,--,--,--,--,--,--,--,6105020.0,"-36,3498770527922","-61,2552591224518",0,1793,43
0,--,--,--,--,--,--,--,--,--,6105060.0,"-36,1440485245343","-61,0116010100704",0,2362,43
40,--,--,--,--,SI,--,--,--,--,6105040.0,"-36,5053183545527","-61,0243287245345",0,2666,43
1551,--,--,--,--,--,SI,SI,SI,--,6105050.0,"-36,5109170215402","-61,5545516558692",0,2722,43
26242,SI,SI,SI,--,--,SI,SI,SI,SI,6105060.0,"-36,2295602208798","-61,1131898679983",0,3089,43
2643,--,--,SI,--,--,SI,SI,SI,SI,6105070.0,"-36,4329292363695","-61,4191160192421",0,3470,43
62,--,--,--,--,--,--,--,--,--,6105080.0,"-36,6025793254646","-61,3618625494725",0,3708,43
7,--,--,--,--,--,--,--,--,--,6112005.0,"-35,2267581272748","-60,4168952837295",0,233,44
91563,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010.0,"-34,5715411303449","-58,4878560596649",1,3494,58
812,--,--,--,--,--,--,--,SI,SI,14098040.0,"-32,6904036665231","-64,721171054893",5,109,341
6869,SI,SI,--,SI,--,SI,SI,SI,SI,14098050.0,"-32,4528669215341","-64,3854404675021",5,541,341
1051,SI,--,--,--,SI,--,--,SI,SI,14098060.0,"-33,5032818212674","-64,6755735163666",5,571,341
767,--,--,--,SI,SI,--,SI,SI,SI,14098070.0,"-33,5563361347485","-65,0052699166312",5,782,341
304,SI,--,--,SI,--,SI,SI,SI,SI,14098080.0,"-33,0089546768665","-64,1712493406755",5,833,341
1456,--,--,--,SI,--,--,--,SI,SI,14098090.0,"-32,8495478948519","-64,3598591374051",5,1013,341
10224,--,--,--,SI,SI,SI,--,SI,SI,22147020.0,"-27,2895492409257","-60,4155962080604",3,3572,370
1888,--,--,--,SI,--,SI,SI,SI,SI,22154010.0,"-26,8050732181615","-59,5596523744138",3,664,387
3471,--,--,--,--,SI,--,SI,SI,SI,22154020.0,"-26,9324550960675","-59,5204851339373",3,914,387
