id_Provincia,Año,Trimestre,Banda ancha fija,Dial up,Total
6,2015,1,81488,43,81531
7,2015,1,165839,231,166070
8,2015,1,26657,43,26700
9,2015,1,36608,3,36611
10,2015,1,62155,542,62697
11,2015,1,16310,23,16333
12,2015,1,168355,1805,170160
13,2015,1,85139,7,85146
14,2015,1,93373,2369,95742
15,2015,1,96145,1188,97333
16,2015,1,96793,18,96811
17,2015,1,51117,702,51819
18,2015,1,12878,354,13232
19,2015,1,26217,424,26641
20,2015,1,535640,797,536437
21,2015,1,39244,8,39252
22,2015,1,32726,730,33456
23,2015,1,138184,92,138276
0,2014,4,2801178,15229,2816407
1,2014,4,1318526,11994,1330520
2,2014,4,25472,21,25493
3,2014,4,65998,37,66035
4,2014,4,66557,1985,68542
5,2014,4,590113,319,590432
6,2014,4,65656,54,65710
7,2014,4,140567,246,140813
8,2014,4,26156,51,26207
9,2014,4,35999,3,36002
10,2014,4,56813,567,57380
11,2014,4,16379,23,16402
12,2014,4,167766,1848,169614
13,2014,4,77222,7,77229
14,2014,4,92999,2397,95396
15,2014,4,95050,1210,96260
16,2014,4,93921,26,93947
17,2014,4,51390,729,52119
18,2014,4,12788,359,13147
19,2014,4,25277,436,25713
20,2014,4,528459,938,529397
21,2014,4,39308,9,39317
22,2014,4,28249,741,28990
23,2014,4,137329,95,137424
0,2014,3,2835537,14028,2849565
1,2014,3,1307195,10630,1317825
2,2014,3,24665,21,24686
3,2014,3,63710,36,63746
4,2014,3,67130,2007,69137
5,2014,3,585231,200,585431
6,2014,3,63516,33,63549
7,2014,3,136618,115,136733
8,2014,3,25873,64,25937
9,2014,3,33739,2,33741
10,2014,3,61861,564,62425
11,2014,3,15893,23,15916
12,2014,3,166184,1740,167924
13,2014,3,75327,0,75327
14,2014,3,100099,2268,102367
15,2014,3,96629,1151,97780
16,2014,3,92929,25,92954
17,2014,3,51031,748,51779
18,2014,3,12683,363,13046
19,2014,3,25664,446,26110
20,2014,3,520196,691,520887
21,2014,3,37539,9,37548
22,2014,3,28037,755,28792
23,2014,3,131978,88,132066
0,2014,2,2750430,14116,2764546
1,2014,2,1299502,10713,1310215
2,2014,2,24660,23,24683
3,2014,2,63243,36,63279
4,2014,2,68503,2016,70519
5,2014,2,576747,205,576952
6,2014,2,62925,33,62958
7,2014,2,135468,115,135583
8,2014,2,25535,65,25600
