Año,Trimestre,id_Provincia,<0.512 mbps,0.512 - 1 Mbps,1 - 6 Mbps,6 - 10 Mbps,10 - 20 Mbps,20 - 30 Mbps,>=30 Mbps,Otros,Total,Total2,Diferencia
2021,3,12,360,310,151871,1264,62628,7596,21087,500,255939,245616,10323
2021,3,13,510,50,41932,25099,26079,14792,42291,8279,158528,159032,-504
2021,3,14,1120,3270,57441,8566,6234,3631,57919,5579,139809,143760,-3951
2021,3,15,1250,5570,68991,373,1488,2282,34011,20009,144585,133974,10611
2021,3,16,1010,200,41431,70104,6962,3878,67010,6327,195833,196922,-1089
2021,3,17,180,3330,59873,7520,1325,3380,278,4641,79483,80527,-1044
2021,3,18,600,0,11552,2405,6491,67942,22,29392,117864,118404,-540
2021,3,19,500,0,30561,8365,6799,1788,678,7350,48976,56041,-7065
2021,3,20,4670,5790,193207,20125,83941,5508,290793,16267,841584,620301,221283
2021,3,21,1230,9090,32752,61838,11274,8010,6863,8980,115458,140037,-24579
2021,3,22,170,0,23723,13397,9782,1433,976,8950,50223,58431,-8208
2021,3,23,320,970,39446,50293,21986,53,115154,1640,232472,229862,2610
2021,2,0,37192,31178,1096049,244001,140322,236897,2337604,9108,4132351,4132351,0
2021,2,1,2940,6030,157558,73568,43859,86655,1037752,660,1400355,1409022,-8667
2021,2,2,710,0,7219,9091,6828,4941,25388,2206,55744,56383,-639
2021,2,3,3010,1120,23444,21574,24032,16069,47239,7958,140729,144446,-3717
2021,2,4,1040,1050,89639,22605,16604,3896,1112,5172,139237,141118,-1881
2021,2,5,990,2452,201757,136516,6695,70824,442357,9925,930880,871516,59364
2021,2,6,670,6450,29419,27037,24524,10059,32697,5053,129501,135909,-6408
2021,2,7,1070,3024,63518,55349,39468,18484,61605,16077,257632,258595,-963
2021,2,8,3810,0,22364,731,746,1341,11077,1618,51551,41687,9864
2021,2,9,480,1750,24182,16577,37908,6070,29950,2401,111848,119318,-7470
2021,2,10,2980,5540,64146,7769,8128,3399,9311,4062,97667,105335,-7668
2021,2,11,180,10,5312,5971,23298,4825,42158,190,81602,81944,-342
2021,2,12,360,310,137462,10886,56117,4403,20686,500,229671,230724,-1053
2021,2,13,510,50,41643,25907,25811,16172,38308,8279,156176,156680,-504
2021,2,14,1120,3270,57713,8631,5871,5943,54008,5645,138250,142201,-3951
2021,2,15,1250,5570,69356,3663,15019,3867,31488,20009,144084,150222,-6138
2021,2,16,1010,200,42543,67012,7099,9654,58882,6328,191639,192728,-1089
2021,2,17,180,3330,59989,7840,1255,3400,278,4641,78933,80913,-1980
2021,2,18,600,0,11752,2703,5418,65946,22,36917,122818,123358,-540
2021,2,19,500,0,30595,8463,6888,1575,676,7350,48982,56047,-7065
2021,2,20,4670,8960,202018,204077,80452,75195,262124,15371,840600,852867,-12267
2021,2,21,1230,9090,32034,62224,10359,8110,6064,1566,114090,130677,-16587
2021,2,22,170,0,21335,6913,458,4760,889,1483,35693,36008,-315
2021,2,23,320,970,40224,51648,23732,5022,109616,268,233051,231800,1251
2021,1,0,36939,31187,1108368,24052,163747,222061,2246313,10867,4060002,3843534,216468
2021,1,1,1350,2440,159662,76753,56457,83255,1003041,1260,1379673,1384218,-4545
2021,1,2,710,0,7423,8455,10115,7120,22996,2196,51968,59015,-7047
2021,1,3,3010,1120,24357,22102,27556,14496,42462,8384,139770,143487,-3717
2021,1,4,1060,1090,86986,21401,15392,2844,1112,439,132340,130324,2016
2021,1,5,930,2386,211799,135092,74659,71984,402191,12677,910881,911718,-837
2021,1,6,670,5270,31544,26223,26169,9001,27641,5453,126625,131971,-5346
2021,1,7,1050,2911,67255,5606,42432,15774,54600,12826,251963,202454,49509
2021,1,8,560,0,22409,7569,7916,1215,9579,1942,50686,51190,-504
2021,1,9,490,1750,23735,17293,40649,5680,25609,2378,110456,117584,-7128
2021,1,10,2980,5540,68200,7864,7611,2786,7368,2424,97105,104773,-7668
2021,1,11,180,10,36749,5968,4604,2150,5074,-10,52628,54725,-2097
2021,1,12,280,400,134386,11216,52533,4061,16615,440,218923,219931,-1008
